년,월,광역지자체,현지인(a),외지인(b),외국인(c),내국인(a+b),외부방문자(b+c),전체방문자(a+b+c)
"2019","01","충청북도","21,349,150","7,257,800","44,321","28,606,949","7,302,120","28,651,270"
"2019","02","충청북도","18,738,713","8,143,037","50,899","26,881,750","8,193,936","26,932,649"
"2019","03","충청북도","21,981,550","9,692,655","59,556","31,674,205","9,752,211","31,733,762"
"2019","04","충청북도","20,847,396","8,146,012","60,848","28,993,409","8,206,860","29,054,256"
"2019","05","충청북도","23,197,877","9,064,793","60,555","32,262,671","9,125,348","32,323,226"
"2019","06","충청북도","22,089,165","8,171,226","57,962","30,260,391","8,229,188","30,318,353"
"2019","07","충청북도","22,195,824","9,042,841","71,184","31,238,666","9,114,026","31,309,850"
"2019","08","충청북도","21,402,080","9,953,059","74,344","31,355,138","10,027,402","31,429,482"
"2019","09","충청북도","21,483,297","10,099,667","89,997","31,582,964","10,189,663","31,672,961"
"2019","10","충청북도","22,512,780","9,182,016","82,562","31,694,796","9,264,577","31,777,358"
"2019","11","충청북도","22,442,010","8,687,651","70,756","31,129,662","8,758,407","31,200,418"
"2019","12","충청북도","22,997,107","7,626,696","58,522","30,623,803","7,685,218","30,682,325"
"2020","01","충청북도","21,667,394","8,591,135","32,702","30,258,529","8,623,837","30,291,231"
"2020","02","충청북도","19,967,017","6,002,482","21,999","25,969,499","6,024,481","25,991,498"
"2020","03","충청북도","20,133,551","6,752,245","13,289","26,885,796","6,765,534","26,899,085"
"2020","04","충청북도","20,271,108","7,104,153","12,567","27,375,260","7,116,720","27,387,827"
"2020","05","충청북도","22,360,740","8,542,818","11,724","30,903,558","8,554,542","30,915,282"
"2020","06","충청북도","22,728,716","7,846,307","8,179","30,575,023","7,854,486","30,583,202"
"2020","07","충청북도","23,131,038","8,319,875","9,623","31,450,912","8,329,497","31,460,535"
"2020","08","충청북도","22,063,895","8,644,692","11,137","30,708,587","8,655,829","30,719,724"
"2020","09","충청북도","22,528,510","7,901,051","14,462","30,429,560","7,915,512","30,444,022"
"2020","10","충청북도","22,644,436","9,348,136","9,684","31,992,572","9,357,820","32,002,257"
"2020","11","충청북도","22,265,394","8,020,792","11,366","30,286,186","8,032,158","30,297,552"
"2020","12","충청북도","20,858,604","6,310,111","14,935","27,168,715","6,325,047","27,183,650"
"2021","01","충청북도","19,879,244","5,921,206","9,653","25,800,449","5,930,859","25,810,103"
"2021","02","충청북도","19,022,364","6,900,072","7,529","25,922,435","6,907,600","25,929,964"
"2021","03","충청북도","22,885,390","8,101,579","11,849","30,986,970","8,113,429","30,998,819"
"2021","04","충청북도","22,150,604","7,685,895","11,417","29,836,499","7,697,312","29,847,916"
"2021","05","충청북도","23,763,085","8,492,057","8,952","32,255,143","8,501,009","32,264,095"
